"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"693","1621",12799.7229056291,61805.4658153135,49,90,0.492007004097104,41,20.8277128320187,"Q3"
"694","1622",12739.8595064715,61803.3786156462,45,92,0.505189803894609,47,23.2560792169534,"Q3"
"695","1623",12413.5770768077,61816.2421888281,57,97,0.635150464251637,40,14.5939814299345,"Q3"
"696","1624",16173.5043995019,61746.1342875923,51,101,0.290349461371079,50,35.482526931446,"Q1"
"697","1625",12094.8612815169,61826.3224652736,84,156,0.995140953687951,72,0.34985133446753,"Q4"
"698","1626",18848.0775818376,61681.576870429,68,124,0.11588565306738,56,49.5104034282267,"Q1"
"699","1627",12374.7183412225,61819.7530324311,68,106,0.738958836067468,38,9.91956422943622,"Q4"
"700","1628",12515.7946222591,61813.0910973998,66,104,0.581608048407361,38,15.8988941605203,"Q3"
"701","1629",12362.028641797,61817.6314262365,46,97,0.715232308255509,51,14.5231522789691,"Q3"
"702","163",12244.0123472803,61824.1482372655,52,120,0.916127827484161,68,5.70330773107708,"Q4"
"703","1630",14550.4127440088,61783.162839627,68,100,0.28662406723015,32,22.8280298486352,"Q2"
"704","1631",12486.2547325469,61812.0714168952,52,100,0.599183813668787,48,19.2391769438982,"Q3"
"705","1632",12473.7805664896,61813.5893081134,35,87,0.703614089870825,52,15.4120673267171,"Q3"
"706","1633",12104.6758178168,61826.3224652736,48,93,0.969561049016193,45,1.36975279427134,"Q4"
"707","1634",15661.406965642,61743.1002863277,66,121,0.390947419917211,55,33.4978919045534,"Q1"
"708","1635",16325.0524536387,61722.731699876,50,118,0.396178552182391,68,41.0598584515974,"Q1"
"709","1636",15490.2198957686,61770.80013607,58,94,0.198295856127515,36,28.8613491794094,"Q2"
"710","1637",13613.3338790556,61785.637304462,54,113,0.505883808014914,59,29.1528553271201,"Q2"
"711","1638",19603.7286792335,61680.5206656509,49,109,0.0858634389005601,60,54.8481936659664,"Q1"
"712","1639",15302.1379853286,61763.7223627246,42,90,0.397236875724047,48,28.9326299652457,"Q2"
"713","164",12178.1007681118,61825.4385036253,66,117,0.939812198281288,51,3.0695778876543,"Q4"
"714","1640",13994.2590667409,61784.1638751517,64,109,0.452247030567378,45,24.648883624468,"Q2"
"715","1641",18666.5718459493,61656.0295325706,64,131,0.250626654364169,67,50.2080141576007,"Q1"
"716","1642",13731.5676219256,61795.3193934363,63,95,0.382099482929334,32,19.7728165462613,"Q2"
"717","1643",12274.4030588663,61822.8708891026,55,108,0.861960292095318,53,7.31610451894812,"Q4"
"718","1644",12489.593541391,61816.5808876118,71,114,0.703491573221982,43,12.7498623514548,"Q3"
"719","1645",12702.782757621,61810.2502820132,76,129,0.676551933865994,53,17.1427475051023,"Q3"
"720","1646",12292.0587945276,61821.8659797989,59,100,0.797750785714015,41,8.29221778572537,"Q4"
"721","1647",18396.3700010269,61716.2046869526,66,114,0.0361150910612196,48,46.2664756290615,"Q1"
"722","1648",19413.552619277,61638.8294155201,78,139,0.136853250907734,61,52.6519516946282,"Q1"
"723","1649",12304.7683360782,61821.3739263246,50,102,0.812705849995837,52,9.7392958002165,"Q4"
"724","165",12603.9678149566,61809.2300969035,53,94,0.523464670637622,41,19.5379485038575,"Q3"
"725","1650",14407.1142083069,61770.0880384526,77,127,0.477384799858555,50,26.1307600070722,"Q2"
"726","1651",12598.4252079885,61811.1032533576,57,113,0.648698692442849,56,19.6728732232004,"Q3"
"727","1652",16439.6032054275,61753.747119861,53,95,0.165688052074984,42,35.0411018128507,"Q2"
"728","1653",12324.1847860501,61814.1416942099,46,84,0.555583582026884,38,16.8878238829784,"Q3"
"729","1654",14900.2142610044,61783.8223815308,46,77,0.222662796964869,31,24.0974532940891,"Q2"
"730","1655",12675.6330593839,61811.9042770039,77,132,0.712590839248151,55,15.8075038413517,"Q3"
"731","1656",12208.243561818,61823.6476180867,55,90,0.831332056550309,35,5.90337802073918,"Q4"
"732","1657",16892.5734478989,61754.964082044,52,92,0.0696624205447733,40,37.2135031782091,"Q2"
"733","1658",14693.1652974775,61784.0690484152,52,85,0.255934278247878,33,24.55416881782,"Q2"
"734","1659",13858.7939176231,61780.649160346,63,121,0.512569028651342,58,28.2709963382222,"Q2"
"735","166",14710.9441083446,61752.3404924763,48,125,0.490090635372326,77,39.2630210763309,"Q2"
"736","1660",12650.4517673112,61809.0192274381,62,115,0.616495631402358,53,20.325731535675,"Q3"
"737","1661",15027.9978126633,61755.133373267,55,117,0.444811498047784,62,34.4216871210374,"Q2"
"738","1662",12601.42652874,61806.9456010351,50,108,0.586475122254342,58,23.9844429092482,"Q3"
"739","1663",12192.6127125315,61824.9868136186,79,117,0.918234643293545,38,3.1070835548453,"Q4"
"740","1664",12665.3609498091,61812.5307203879,59,132,0.753204804845154,73,18.0160492463037,"Q3"
"741","1665",12987.8747868189,61803.6432829293,60,100,0.501283096149564,40,19.9486761540174,"Q3"
"742","1666",17188.7426385701,61711.1204707799,58,117,0.28969301446341,59,41.9081121466588,"Q1"
"743","1667",16070.2570965411,61733.7773747491,50,113,0.386139040347189,63,38.6732404581271,"Q1"
"744","1668",12238.9295100324,61823.8044234134,60,108,0.882671741768718,48,5.63175639510155,"Q4"
"745","1669",12786.8474375854,61806.0021147786,66,112,0.562684753676876,46,20.1165013308637,"Q3"
"746","167",15419.2705135672,61766.4566580871,55,96,0.271696681389585,41,29.860436063027,"Q2"
"747","1670",15676.6362369677,61764.6718493565,58,97,0.219903401099145,39,30.4237673571333,"Q2"
"748","1671",12250.0673697793,61821.9317525937,55,87,0.742026654770598,32,8.25514704734087,"Q4"
"749","1672",20407.3840921636,61636.9372261286,60,126,0.0883155236952007,66,60.1711754361168,"Q1"
"750","1673",14643.3043629605,61783.810082434,61,93,0.258862873073667,32,23.7163880616426,"Q2"
"751","1674",12597.3640077793,61809.9998824322,60,102,0.553942090133205,42,18.7344322144054,"Q3"
"752","1675",21877.3696403612,61573.8272366972,58,134,0.0800806467887014,76,69.9138708440587,"Q1"
"753","1676",17751.890355958,61730.6845876531,50,98,0.10489863040857,48,42.9648657403886,"Q1"
"754","1677",16855.3224208222,61750.6132151989,52,94,0.112765918718651,42,37.2638314138167,"Q2"
"755","1678",17323.5898130753,61728.3068947784,64,111,0.148076309589669,47,40.0404134492856,"Q1"
"756","1679",17654.7934028428,61701.3098928983,59,118,0.252814109437168,59,44.0839675432071,"Q1"
"757","168",16499.9372502469,61709.2990591894,61,131,0.411870863521472,70,41.169039553497,"Q1"
"758","1680",14950.3224353379,61780.5183304904,49,83,0.242698837304488,34,25.7482395316474,"Q2"
"759","1681",13694.8994307149,61785.0628131937,61,117,0.510537500027567,56,27.4098999984562,"Q2"
"760","1682",18368.9541505088,61657.7573218712,66,134,0.284388451371342,68,48.6615853067487,"Q1"
"761","1683",12857.8515500552,61807.4939237577,60,94,0.487216169480234,34,17.434650237672,"Q3"
"762","1684",12776.4197230823,61803.3184128336,55,111,0.560757922241464,56,24.597556354478,"Q3"
"763","1685",12122.7592144501,61826.1685284486,60,102,0.959473950089887,42,1.70209409622476,"Q4"
"764","1686",13461.4824692545,61799.7964812931,54,86,0.39364347839728,32,19.403408691287,"Q3"
"765","1687",13965.761774678,61790.4838630482,51,88,0.378104276722297,37,23.010141761275,"Q2"
"766","1688",12357.3285658374,61820.6134559782,52,111,0.819975787773728,59,10.62142852135,"Q4"
"767","1689",12396.5764005492,61816.9388352061,58,96,0.638751494931057,38,13.7274431926198,"Q3"
"768","169",12422.3451826611,61816.2020392094,66,98,0.590502915903926,32,13.1039066910744,"Q3"
"769","1690",12401.3397266975,61814.9641274537,52,93,0.601802113698795,41,16.3261133383494,"Q3"
"770","1691",14802.5469590795,61765.6488785657,60,112,0.422104916768149,52,30.0505443280563,"Q2"
"771","1692",14334.3403958646,61783.567444799,49,89,0.369271060684696,40,25.2291575726122,"Q2"
"772","1693",12253.982537385,61824.0217805269,67,123,0.909036943223327,56,5.09393117949367,"Q4"
"773","1694",12425.9253202461,61815.8499267399,53,99,0.658539190422744,46,15.7071972405538,"Q3"
"774","1695",15034.468116652,61779.632581159,34,66,0.368530432926491,32,20.2070261463523,"Q2"
"775","1696",17456.2985589903,61699.9354861161,50,116,0.319310173857957,66,44.9255285253748,"Q1"
"776","1697",12390.9439224218,61817.643540526,45,104,0.750869712792337,59,14.6986869452521,"Q3"
"777","1698",16576.8493288989,61745.6047859954,63,106,0.175585475750268,43,35.4498245427385,"Q1"
"778","1699",12498.663704416,61811.8588768569,53,101,0.598142840666696,48,19.2891436479986,"Q3"
"779","17",13642.2985422634,61781.3256492903,46,111,0.500420443946496,65,32.4726711434778,"Q2"
"780","170",12586.880694218,61808.1333968653,53,106,0.577952206833288,53,22.3685330378357,"Q3"
"781","1700",12697.6572555652,61812.5394499006,74,145,0.783383866073564,71,15.379745508777,"Q3"
"782","1701",14248.4460314084,61784.0222187787,60,99,0.380883830133826,39,24.1455306247808,"Q2"
"783","1702",16044.301862042,61739.4786048712,60,114,0.343322435161099,54,35.4605885013007,"Q1"
"784","1703",13291.8140481111,61793.7971023104,61,115,0.52963636117056,54,25.3996364967898,"Q2"
"785","1704",15860.7393182323,61742.5072322253,59,114,0.362850459991023,55,35.0432247004937,"Q1"
"786","1705",12244.8247248626,61821.4556087135,44,89,0.786787205608562,45,9.59457574761473,"Q4"
"787","1706",15506.802222254,61744.8682483378,55,117,0.418625628575683,62,36.0452110283077,"Q1"
"788","1707",12290.627846052,61821.1352094601,56,93,0.746838927268982,37,9.36695969104767,"Q4"
"789","1708",12245.5131759807,61824.211537313,57,122,0.917375351069495,65,5.37060218048282,"Q4"
"790","1709",16630.0998918213,61731.0226321942,50,106,0.305265093455091,56,38.9051547665149,"Q1"
"791","171",12135.3649777948,61826.1465357265,52,109,0.960549513576552,57,2.24867772613652,"Q4"
"792","1710",12095.8356860053,61826.3224652736,54,91,0.97724799416028,37,0.841824216069654,"Q4"
"793","1711",14494.0338522999,61777.3074439037,69,109,0.384675909299403,40,24.6129636280239,"Q2"
"794","1712",12318.7441433436,61817.1095805938,52,84,0.573237848933786,32,13.6563888341188,"Q3"
"795","1713",12185.9115450291,61824.0630453073,54,86,0.836892596445978,32,5.21943691372871,"Q4"
"796","1714",14336.6941521495,61766.1413829868,59,126,0.505135314306244,67,33.1559339414816,"Q2"
"797","1715",19258.0935807653,61657.5469649678,66,128,0.150875270133838,62,52.645733251702,"Q1"
"798","1716",12307.8344361725,61822.3730816808,61,114,0.856758618028834,53,7.59179324447177,"Q4"
"799","1717",15098.5218532043,61780.1458323455,57,89,0.18450766778551,32,26.0957546308637,"Q2"
"800","1718",12891.5944308465,61799.2544888302,55,122,0.58432229841128,67,27.8504060064442,"Q3"
"801","1719",19208.9242356628,61702.2140441539,54,108,0.0316586077678949,54,52.2904351805337,"Q1"
