I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
5.362276595056773e-5,9.434230598542057e-6,-1.0095759547222416,11.576247155188835,2.9612574274140515,4.1405339491828205e-4,4.950651122412185,5.8893748449603224e-5,blanket_1
5.254292989317692e-5,9.244209585946278e-6,-1.0081805626256712,11.576494009510895,2.961293310811123,4.0571533593174224e-4,4.950733905018277,5.770695318712515e-5,blanket_1
5.148479736560594e-5,9.058009299045783e-6,-1.0068132821986375,11.576735902726831,2.961328470937221,3.975448628584666e-4,4.9508150205778945,5.654404373456585e-5,blanket_1
5.0447933818656245e-5,8.875553178815037e-6,-1.0054735479597898,11.576972934152323,2.9613629223556446,3.8953862028461673e-4,4.9508945025968565,5.540454054894053e-5,blanket_1
4.94319133371435e-5,8.696766189779975e-6,-1.0041608057683726,11.57720520113039,2.961396679337066,3.816933194647338e-4,4.9509723839101305,5.428797366735709e-5,blanket_1
4.843631847100798e-5,8.52157479011925e-6,-1.0028745125982952,11.577432799069953,2.961429755865381,3.740057370176405e-4,4.95104869669515,5.319388251752091e-5,blanket_1
4.7460740069621975e-5,8.34990690233537e-6,-1.0016141363162867,11.57765582148367,2.9614621656434514,3.6647271364703e-4,4.951123472484901,5.212181573191205e-5,blanket_1
4.650477711923797e-5,8.181691884485548e-6,-1.0003791554649255,11.577874360025046,2.9614939220987297,3.5909115288630585e-4,4.951196742180717,5.1071330965567214e-5,blanket_1
4.5568036583522264e-5,8.016860501962213e-6,-0.999169059049454,11.57808850452485,2.961525038388772,3.518580198672473e-4,4.9512685360648545,5.004199471739939e-5,blanket_1
4.465013324711942e-5,7.85534489981336e-6,-0.9979833463292231,11.578298343026837,2.961555527406643,3.4477034011207684e-4,4.951338883812793,4.9033382154988836e-5,blanket_1
4.375068956219376e-5,7.697078575592955e-6,-0.9968215266128899,11.578503961822799,2.9615854017862104,3.378251983485155e-4,4.951407814505327,4.804507694278122e-5,blanket_1
4.28693354978949e-5,7.541996352731843e-6,-0.9956831190578108,11.578705445486921,2.961614673907341,3.310197373474158e-4,4.9514753566403895,4.707667107362876e-5,blanket_1
4.2005708392695206e-5,7.390034354419791e-6,-0.994567652473477,11.578902876909526,2.9616433559009856,3.243511567825723e-4,4.951541538144666,4.6127764703612425e-5,blanket_1
4.115945280954764e-5,7.241129977989274e-6,-0.9934746651288351,11.579096337330125,2.9616714596541653,3.178167121123072e-4,4.951606386384959,4.519796599008261e-5,blanket_1
4.033022039381351e-5,7.0952218697920155e-6,-0.9924037045631384,11.57928590636989,2.961698996814861,3.1141371348244735e-4,4.951669928179353,4.4286890932859276e-5,blanket_1
3.9517669733910116e-5,6.952249900559163e-6,-0.9913543274008063,11.579471662063472,2.961725978796808,3.0513952465030037e-4,4.951732189808147,4.339416321853062e-5,blanket_1
3.872146622462935e-5,6.812155141236359e-6,-0.9903260991698914,11.579653680890205,2.961752416784183,2.9899156192925635e-4,4.951793197024566,4.2519414067793105e-5,blanket_1
3.794128193307882e-5,6.674879839284954e-6,-0.9893185941242999,11.579832037804733,2.9617783217362113,2.929672931536391e-4,4.951852975065272,4.166228208577476e-5,blanket_1
3.717679546719798e-5,6.540367395440824e-6,-0.9883313950689088,11.580006806267047,2.96180370439168,2.870642366634408e-4,4.9519115486606715,4.082241311528564e-5,blanket_1
3.642769184680247e-5,6.408562340922374e-6,-0.9873640931891026,11.58017805827192,2.9618285752733486,2.8127996030857826e-4,4.951968942045001,3.999946009294025e-5,blanket_1
3.569366237711053e-5,6.279410315079438e-6,-0.986416287882852,11.58034586437782,2.9618529446922923,2.75612080472315e-4,4.952025178966234,3.9193082908096955e-5,blanket_1
3.497440452470617e-5,6.152858043474926e-6,-0.9854875865965784,11.58051029373521,2.961876822752138,2.7005826111349855e-4,4.95208028269578,3.8402948264561535e-5,blanket_1
3.4269621795894565e-5,6.028853316391252e-6,-0.984577604663972,11.580671414114374,2.961900219353237,2.646162128272702e-4,4.9521342760380085,3.762872954500207e-5,blanket_1
