rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,cases_per_100k_ratio,productivity_loss,economic_loss_ratio_ADJUSTED
6,0.3,5352.507480844793,NA,57259.637875209235,NA,NA,NA,70,NA
6,0.4,5503.789529277103,1100.89442566679,60689.98487842458,60687.91253287321,0.7999751953066804,1.000034147583347,60,0.9223740990999684
6,0.5,5606.540311870735,1141.6707907848245,63608.58134974625,63604.41734183697,0.7963680403104276,1.0000654672754394,50,0.9182150372196721
6,0.6,5674.631001687786,1169.7727315749246,66156.25723322481,66159.58692605182,0.7938592427900593,0.9999496718014468,40,0.9153223852146473
6,0.7,5716.027262197896,1192.690822129521,68409.48992671414,68412.4926367252,0.7913426987976062,0.9999561087471699,30.000000000000004,0.9124208015011742
6,0.8,5736.092773745118,1212.8021062533862,70418.68531266725,70412.82657115039,0.7885665113708503,1.0000832056004874,19.999999999999996,0.9092198480319795
6,0.9,5738.763125994722,1225.639962876432,72221.22805843271,72216.35224020279,0.7864278528373678,1.0000675168168798,9.999999999999998,0.9067539675275882
7,0.1,4737.623323188854,858.3237721249972,47129.53592133051,47128.779805087055,0.8188281943134165,1.0000160436201952,90,0.9441116705599238
7,0.2,5174.254853295314,991.1896065807206,53777.57769591597,53777.56234643277,0.808438193578837,1.0000002854254177,80,0.932131964659753
7,0.3,5417.060084491888,NA,58340.09462950146,NA,NA,NA,70,NA
7,0.4,5575.5024982855375,1130.9725152807914,62006.659830942444,62002.87541979469,0.7971532582707004,1.0000610360587656,60,0.9191203961769908
7,0.5,5681.616995324411,NA,65113.636137576235,NA,NA,NA,50,NA
7,0.6,5750.074250558979,1207.294898547464,67804.76050109619,67805.36455857201,0.7900383810817573,0.9999910913025871,40,0.9109169187743665
7,0.7,5789.660007509504,1231.2345516751552,70162.79303155605,70159.88689501763,0.787339057893179,1.0000414216251912,30.000000000000004,0.9078045900311109
7,0.8,5806.440289321378,1251.3593297170626,72245.32874003946,72242.50561560587,0.7844876951514619,1.0000390784401723,19.999999999999996,0.9045169591701436
